


Full Screen Flash Stimulus
Time and Date
21-Aug-2020 14:44:48

Locations: 0 - whole screen; 1 - top left; 2 - top right; 
3 - bottom left; 4 - bottom right; 5 - center

trial      start time                location   contrast   stimulus type
1          21-Aug-2020 14:44:48      0          0.5        fs wf     
2          21-Aug-2020 14:44:53      0          0.25       fs wf     
3          21-Aug-2020 14:44:57      0          0.5        fs wf     
4          21-Aug-2020 14:45:02      0          1          fs wf     
5          21-Aug-2020 14:45:06      0          0.25       fs wf     
6          21-Aug-2020 14:45:10      0          0.5        fs wf     
7          21-Aug-2020 14:45:15      0          0.5        fs wf     
8          21-Aug-2020 14:45:20      0          1          fs wf     
9          21-Aug-2020 14:45:25      0          0.75       fs wf     
10         21-Aug-2020 14:45:28      0          0.75       fs wf     
11         21-Aug-2020 14:45:32      0          0.75       fs wf     
12         21-Aug-2020 14:45:36      0          1          fs wf     
13         21-Aug-2020 14:45:40      0          1          fs wf     
14         21-Aug-2020 14:45:44      0          0.75       fs wf     
15         21-Aug-2020 14:45:49      0          0.75       fs wf     
16         21-Aug-2020 14:45:53      0          1          fs wf     
17         21-Aug-2020 14:45:57      0          1          fs wf     
18         21-Aug-2020 14:46:01      0          0.75       fs wf     
19         21-Aug-2020 14:46:04      0          0.25       fs wf     
20         21-Aug-2020 14:46:08      0          0.25       fs wf     
21         21-Aug-2020 14:46:12      0          0.25       fs wf     
22         21-Aug-2020 14:46:17      0          0.25       fs wf     
23         21-Aug-2020 14:46:21      0          0.75       fs wf     
24         21-Aug-2020 14:46:25      0          0.75       fs wf     
25         21-Aug-2020 14:46:29      0          1          fs wf     
26         21-Aug-2020 14:46:33      0          0.5        fs wf     
27         21-Aug-2020 14:46:37      0          0.75       fs wf     
28         21-Aug-2020 14:46:40      0          0.25       fs wf     
29         21-Aug-2020 14:46:45      0          1          fs wf     
30         21-Aug-2020 14:46:49      0          0.75       fs wf     
31         21-Aug-2020 14:46:53      0          0.5        fs wf     
