


Full Screen Flash Stimulus
Time and Date
22-Jun-2020 17:35:29

Locations: 0 - whole screen; 1 - top left; 2 - top right; 
3 - bottom left; 4 - bottom right; 5 - center

trial      start time                location   contrast   stimulus type
1          22-Jun-2020 17:35:29      0          0.25       fs wf     
2          22-Jun-2020 17:35:33      0          0.75       fs wf     
3          22-Jun-2020 17:35:37      0          1          fs wf     
4          22-Jun-2020 17:35:41      0          1          fs wf     
5          22-Jun-2020 17:35:45      0          0.5        fs wf     
6          22-Jun-2020 17:35:49      0          0.75       fs wf     
7          22-Jun-2020 17:35:53      0          0.5        fs wf     
8          22-Jun-2020 17:35:57      0          0.25       fs wf     
9          22-Jun-2020 17:36:01      0          1          fs wf     
10         22-Jun-2020 17:36:04      0          0.25       fs wf     
11         22-Jun-2020 17:36:07      0          0.25       fs wf     
12         22-Jun-2020 17:36:11      0          1          fs wf     
13         22-Jun-2020 17:36:15      0          0.25       fs wf     
14         22-Jun-2020 17:36:18      0          1          fs wf     
15         22-Jun-2020 17:36:22      0          0.5        fs wf     
16         22-Jun-2020 17:36:26      0          0.75       fs wf     
17         22-Jun-2020 17:36:31      0          0.5        fs wf     
18         22-Jun-2020 17:36:35      0          0.25       fs wf     
19         22-Jun-2020 17:36:40      0          0.5        fs wf     
20         22-Jun-2020 17:36:44      0          0.75       fs wf     
21         22-Jun-2020 17:36:48      0          0.75       fs wf     
22         22-Jun-2020 17:36:52      0          1          fs wf     
23         22-Jun-2020 17:36:57      0          0.25       fs wf     
24         22-Jun-2020 17:37:01      0          1          fs wf     
25         22-Jun-2020 17:37:05      0          0.75       fs wf     
26         22-Jun-2020 17:37:10      0          0.75       fs wf     
27         22-Jun-2020 17:37:14      0          0.75       fs wf     
28         22-Jun-2020 17:37:19      0          0.25       fs wf     
29         22-Jun-2020 17:37:22      0          0.5        fs wf     
30         22-Jun-2020 17:37:27      0          0.75       fs wf     
31         22-Jun-2020 17:37:31      0          1          fs wf     
32         22-Jun-2020 17:37:36      0          0.5        fs wf     
33         22-Jun-2020 17:37:40      0          0.75       fs wf     
34         22-Jun-2020 17:37:45      0          0.25       fs wf     
35         22-Jun-2020 17:37:50      0          0.75       fs wf     
36         22-Jun-2020 17:37:54      0          0.25       fs wf     
37         22-Jun-2020 17:37:59      0          0.25       fs wf     
38         22-Jun-2020 17:38:03      0          1          fs wf     
39         22-Jun-2020 17:38:06      0          0.75       fs wf     
40         22-Jun-2020 17:38:11      0          0.75       fs wf     
41         22-Jun-2020 17:38:16      0          0.5        fs wf     
42         22-Jun-2020 17:38:19      0          0.75       fs wf     
43         22-Jun-2020 17:38:23      0          0.5        fs wf     
44         22-Jun-2020 17:38:27      0          0.25       fs wf     
45         22-Jun-2020 17:38:31      0          0.75       fs wf     
46         22-Jun-2020 17:38:36      0          0.75       fs wf     
47         22-Jun-2020 17:38:40      0          0.5        fs wf     
48         22-Jun-2020 17:38:44      0          0.25       fs wf     
49         22-Jun-2020 17:38:49      0          0.5        fs wf     
50         22-Jun-2020 17:38:53      0          0.5        fs wf     
51         22-Jun-2020 17:38:58      0          1          fs wf     
52         22-Jun-2020 17:39:03      0          1          fs wf     
53         22-Jun-2020 17:39:08      0          0.25       fs wf     
54         22-Jun-2020 17:39:12      0          0.25       fs wf     
55         22-Jun-2020 17:39:16      0          0.25       fs wf     
56         22-Jun-2020 17:39:20      0          1          fs wf     
57         22-Jun-2020 17:39:25      0          1          fs wf     
58         22-Jun-2020 17:39:29      0          0.75       fs wf     
59         22-Jun-2020 17:39:33      0          0.5        fs wf     
60         22-Jun-2020 17:39:36      0          1          fs wf     
61         22-Jun-2020 17:39:41      0          0.5        fs wf     
62         22-Jun-2020 17:39:46      0          1          fs wf     
63         22-Jun-2020 17:39:50      0          0.5        fs wf     
64         22-Jun-2020 17:39:53      0          1          fs wf     
65         22-Jun-2020 17:39:58      0          1          fs wf     
66         22-Jun-2020 17:40:03      0          0.75       fs wf     
67         22-Jun-2020 17:40:07      0          0.5        fs wf     
68         22-Jun-2020 17:40:10      0          1          fs wf     
69         22-Jun-2020 17:40:14      0          0.5        fs wf     
70         22-Jun-2020 17:40:18      0          0.75       fs wf     
71         22-Jun-2020 17:40:22      0          0.75       fs wf     
72         22-Jun-2020 17:40:26      0          0.25       fs wf     
73         22-Jun-2020 17:40:29      0          0.25       fs wf     
74         22-Jun-2020 17:40:33      0          0.25       fs wf     
75         22-Jun-2020 17:40:37      0          0.75       fs wf     
76         22-Jun-2020 17:40:41      0          1          fs wf     
77         22-Jun-2020 17:40:45      0          1          fs wf     
78         22-Jun-2020 17:40:49      0          1          fs wf     
79         22-Jun-2020 17:40:53      0          0.25       fs wf     
80         22-Jun-2020 17:40:58      0          0.75       fs wf     
81         22-Jun-2020 17:41:02      0          0.25       fs wf     
82         22-Jun-2020 17:41:06      0          0.5        fs wf     
83         22-Jun-2020 17:41:10      0          0.5        fs wf     
84         22-Jun-2020 17:41:14      0          0.5        fs wf     
85         22-Jun-2020 17:41:17      0          1          fs wf     
86         22-Jun-2020 17:41:22      0          1          fs wf     
87         22-Jun-2020 17:41:27      0          0.25       fs wf     
88         22-Jun-2020 17:41:32      0          1          fs wf     
89         22-Jun-2020 17:41:36      0          0.75       fs wf     
90         22-Jun-2020 17:41:41      0          0.5        fs wf     
91         22-Jun-2020 17:41:45      0          0.5        fs wf     
92         22-Jun-2020 17:41:49      0          1          fs wf     
93         22-Jun-2020 17:41:53      0          0.25       fs wf     
94         22-Jun-2020 17:41:56      0          0.5        fs wf     
95         22-Jun-2020 17:42:01      0          0.25       fs wf     
96         22-Jun-2020 17:42:05      0          0.25       fs wf     
97         22-Jun-2020 17:42:10      0          0.5        fs wf     
98         22-Jun-2020 17:42:15      0          0.75       fs wf     
99         22-Jun-2020 17:42:19      0          0.75       fs wf     
100        22-Jun-2020 17:42:24      0          0.5        fs wf     
