


Multiple Location Flash Stimulus
Time and Date
17-Feb-2020 13:49:46

Locations: 0 - whole screen; 1 - top left; 2 - top right; 
3 - bottom left; 4 - bottom right; 5 - center

trial      start time                location        contrast   stimulus type
1          17-Feb-2020 13:49:46      1               0.75       q wf      
2          17-Feb-2020 13:49:51      2               0.25       q wf      
3          17-Feb-2020 13:49:54      3               1          q wf      
4          17-Feb-2020 13:49:59      2               0.25       q wf      
5          17-Feb-2020 13:50:03      1               0.25       q wf      
6          17-Feb-2020 13:50:07      2               1          q wf      
7          17-Feb-2020 13:50:12      2               1          q wf      
8          17-Feb-2020 13:50:17      4               0.25       q wf      
9          17-Feb-2020 13:50:21      1               0.75       q wf      
10         17-Feb-2020 13:50:25      2               0.25       q wf      
11         17-Feb-2020 13:50:29      1               1          q wf      
12         17-Feb-2020 13:50:32      3               0.25       q wf      
13         17-Feb-2020 13:50:36      2               0.75       q wf      
14         17-Feb-2020 13:50:41      2               0.25       q wf      
15         17-Feb-2020 13:50:46      2               0.75       q wf      
16         17-Feb-2020 13:50:49      1               1          q wf      
17         17-Feb-2020 13:50:54      4               1          q wf      
18         17-Feb-2020 13:50:57      2               0.5        q wf      
19         17-Feb-2020 13:51:02      4               1          q wf      
20         17-Feb-2020 13:51:05      3               0.5        q wf      
21         17-Feb-2020 13:51:09      3               1          q wf      
22         17-Feb-2020 13:51:13      1               0.75       q wf      
23         17-Feb-2020 13:51:17      2               0.75       q wf      
24         17-Feb-2020 13:51:20      3               0.25       q wf      
25         17-Feb-2020 13:51:25      3               0.75       q wf      
26         17-Feb-2020 13:51:28      4               0.25       q wf      
27         17-Feb-2020 13:51:32      1               1          q wf      
28         17-Feb-2020 13:51:35      3               0.75       q wf      
29         17-Feb-2020 13:51:39      2               0.5        q wf      
30         17-Feb-2020 13:51:43      3               0.75       q wf      
31         17-Feb-2020 13:51:48      4               0.75       q wf      
32         17-Feb-2020 13:51:52      4               0.75       q wf      
33         17-Feb-2020 13:51:56      4               0.75       q wf      
34         17-Feb-2020 13:52:00      2               1          q wf      
35         17-Feb-2020 13:52:05      1               0.5        q wf      
36         17-Feb-2020 13:52:10      3               0.5        q wf      
37         17-Feb-2020 13:52:15      2               0.25       q wf      
38         17-Feb-2020 13:52:18      1               1          q wf      
39         17-Feb-2020 13:52:22      3               0.75       q wf      
40         17-Feb-2020 13:52:26      2               0.5        q wf      
Trial aborted
